Location	msR	R1828	R1837	R1854	
act 3 scene 3: sp: l 1046	,			,	
act 3 scene 3: sp: l 1049	.	!	!	!	
act 3 scene 3: div: stage	;	Rienzi , R.,	Rienzi , R.,	Rienzi	
act 3 scene 3: div: stage	the				
act 3 scene 3: div: stage		,	,	,	
act 3 scene 3: div: stage		and other Lords,	and other Lords,	and other Lords,	
act 3 scene 3: sp: l 1051		,	,	,	
act 3 scene 3: sp: l 1051		,	,	,	
act 3 scene 3: sp: stage		C.	C.		
act 3 scene 3: sp: l 1057		,	,	,	
act 3 scene 3: sp: l 1057		,	,	,	
act 3 scene 3: sp: l 1059		—	—		
act 3 scene 3: sp: l 1060		,	,	,	
act 3 scene 3: sp: l 1061	.	!	!	!	
act 3 scene 3: sp: l 1063		—	—		
act 3 scene 3: sp: l 1063		,	,	,	
act 3 scene 3: sp: l 1064		,	,	,	
act 3 scene 3: sp: l 1065	Victory	victory	victory	victory	
act 3 scene 3: div: stage		Exeunt Colonna, R., the rest, L .	Exeunt Colonna, R., the rest, L .	Exeunt .	
act 3 scene 3: div: stage	End of the Third Act	END OF ACT III.	END OF ACT III.	END OF ACT III.	
  act 4: div: head	Act the Fourth	ACT IV.	ACT IV.	ACT IV.	
act 4 scene 1: div: stage		—a Chair of State, L. S. E. —The Tribune’s Crimson Chair, elevated on two Steps , R. S. E.—	—a Chair of State, L. S. E. —The Tribune’s Crimson Chair, elevated on two Steps , R. S. E.—	—The Tribune’s Crimson Chair, elevated on two Steps	
act 4 scene 1: div: stage		, up the C	, up the C		
act 4 scene 1: div: stage		Enter	Enter	Enter	
act 4 scene 1: div: stage		,	,	,	
act 4 scene 1: div: stage	in	, L., who advance to the front—Camillo and other Attendants in the background , R	, L., who advance to the front—Camillo and other Attendants in the background , R	who advance to the front—Camillo and other Attendants in the background	
act 4 scene 1: sp: l 1067	Prince;	prince,	prince,	prince,	
act 4 scene 1: sp: l 1069		,	,	,	
act 4 scene 1: sp: l 1069		,	,	,	
act 4 scene 1: sp: l 1070		,	,	,	
act 4 scene 1: sp: l 1071		,	,	,	
act 4 scene 1: sp: l 1071		,	,	,	
act 4 scene 1: sp: l 1071		,	,	,	
act 4 scene 1: sp: stage		C.	C.		
act 4 scene 1: sp: l 1073		,	,	,	
act 4 scene 1: sp: l 1075	Nuncio	nuncio	nuncio	Nuncio	
act 4 scene 1: sp: stage		L. C.	L. C.		
act 4 scene 1: sp: stage		R. C.	R. C.		
act 4 scene 1: sp: l 1079		,	,	,	
act 4 scene 1: sp: l 1080		,	,	,	
act 4 scene 1: sp: stage		C.	C.		
act 4 scene 1: sp: stage		, L	, L		
act 4 scene 1: sp: l 1085		,	,	,	
act 4 scene 1: sp: l 1088	,	—	—	,	
act 4 scene 1: sp: l 1088	,	—	—	,	
act 4 scene 1: sp: l 1092		,	,	,	
act 4 scene 1: sp: l 1093		,	,	,	
act 4 scene 1: sp: l 1094	our’s	ours	ours	ours	
act 4 scene 1: sp: l 1095	watch-word	watchword	watchword	watchword	
act 4 scene 1: sp: l 1097	!	,	,	,	
act 4 scene 1: sp: l 1097	!	—	—	—	
act 4 scene 1: div: stage		Frangipani, Cafarello, and Savelli, retire up , L.	Frangipani, Cafarello, and Savelli, retire up	Frangipani, Cafarello, and Savelli, retire up the stage. , L.	
act 4 scene 1: div: stage		,	,	,	
act 4 scene 1: div: stage		, R	, R		
act 4 scene 1: div: stage		—As Angelo leads in Claudia, followed by two Ladies, all the visitors to the banquet rise, and curtsy to Claudia, who returns it, and remains conversing with the Ladies.	—As Angelo leads in Claudia, followed by two Ladies, all the visitors to the banquet rise, and curtsy to Claudia, who returns it, and remains conversing with the Ladies.	—As Angelo leads in Claudia, followed by two Ladies, all the visitors to the banquet rise, and curtsy to Claudia, who returns it, and remains conversing with the Ladies.	
act 4 scene 1: sp: l 1101	ring-dove	ring-dove	ring-dove	ringdove	
act 4 scene 1: sp: l 1101		,	,	,	
act 4 scene 1: sp: l 1102	fool!	foo	foo	fool,	
act 4 scene 1: sp: l 1105		,	,	,	
act 4 scene 1: sp: l 1108	Doth	doth	doth	doth	
act 4 scene 1: l: stage		Lords and Ladies sit down.	Lords and Ladies sit down.	Lords and Ladies sit down.	
act 4 scene 1: sp: l 1109		,	,	,	
act 4 scene 1: sp: l 1111		,	,	,	
act 4 scene 1: div: stage		, R.,	, R.,		
act 4 scene 1: div: stage		,	,	.	
act 4 scene 1: sp: l 1114		,	,	,	
act 4 scene 1: sp: l 1114	,	—	—	—	
act 4 scene 1: sp: l 1115		"	"		
act 4 scene 1: sp: l 1115	Queen-ship	queenship	queenship	queenship	
act 4 scene 1: sp: l 1115		,	,	,	
act 4 scene 1: sp: l 1116	crown like	crown-like	crown-like	crown-like	
act 4 scene 1: sp: l 1119		"	"		
act 4 scene 1: sp: l 1121		,	,	,	
act 4 scene 1: sp: l 1122	Fie	fie	fie	fie	
act 4 scene 1: sp: stage		L.		L.	
act 4 scene 1: sp: l 1123		,	,	,	
act 4 scene 1: sp: stage		C.	C.		
act 4 scene 1: sp: l 1124	to day	to-day	to-day	to-day	
act 4 scene 1: sp: l 1127		,	,	,	
act 4 scene 1: sp: l 1129		,	,	,	
act 4 scene 1: sp: l 1130		,	,	,	
act 4 scene 1: sp: l 1131		,	,	,	
act 4 scene 1: sp: l 1132		,	,	,	
act 4 scene 1: sp: l 1132	.	!—	!—	!—	
act 4 scene 1: sp: l 1132		,	,	,	
act 4 scene 1: sp: stage		R.	R.		
act 4 scene 1: sp: l 1134		,	,	,	
act 4 scene 1: sp: l 1135	,	?	?	?	
act 4 scene 1: sp: l 1137	Thought.	, thought?	, thought?	, Thought?	
act 4 scene 1: sp: l 1140		,	,	,	
act 4 scene 1: sp: l 1140		,	,	,	
act 4 scene 1: sp: l 1141		,	,	,	
act 4 scene 1: sp: l 1143	,				
act 4 scene 1: sp: l 1145		,	,	,	
act 4 scene 1: sp: l 1145	,				
act 4 scene 1: sp: l 1145	—				
act 4 scene 1: sp: l 1146	;	,	,	,	
act 4 scene 1: sp: l 1147		,	,	,	
act 4 scene 1: sp: l 1148		,	,	,	
act 4 scene 1: sp: l 1148		,	,	,	
act 4 scene 1: sp: l 1148		,	,	,	
act 4 scene 1: sp: stage		L. C.	L. C.		
act 4 scene 1: sp: stage		R. C.	R. C.		
act 4 scene 1: sp: stage		C.	C.		
act 4 scene 1: sp: l 1154	;	;	:	;	
act 4 scene 1: sp: l 1154	;	,	,	,	
act 4 scene 1: sp: l 1155	;	,	,	,	
act 4 scene 1: div: stage		Hands Claudia to the throne , L. , and sits by her.	Hands Claudia to the throne , L. , and sits by her.	Hands Claudia to the throne , and sits by her.	
act 4 scene 1: sp: l 1157	,	—	—	,	
act 4 scene 1: sp: l 1158		,	,	,	
act 4 scene 1: sp: l 1158		,	,	,	
act 4 scene 1: sp: l 1160	! A	—a	—a	, a	
act 4 scene 1: div: stage		Sits down in the Chair of State , R .	Sits down in the Chair of State , R .	Sits down in the Chair of State .	
act 4 scene 1: sp: l 1163	Dove	dove	dove	dove	
act 4 scene 1: sp: l 1164	High-nested	High nested	High nested	High nested	
act 4 scene 1: sp: l 1164	Column’s crest,—	column’s crest!	column’s crest!	column’s crest!	
act 4 scene 1: sp: l 1165		,	,	,	
act 4 scene 1: sp: l 1165	,				
act 4 scene 1: sp: l 1165	,				
act 4 scene 1: sp: l 1166	olive sign	olive-sign	olive-sign	olive-sign	
act 4 scene 1: sp: l 1168	Flower	flower	flower	flower	
act 4 scene 1: sp: l 1169	Column twine;—	column twine!	column twine!	column twine!	
act 4 scene 1: sp: l 1170		,	,	,	
act 4 scene 1: sp: l 1171	blossomed	blossom’d	blossom’d	blossom’d	
act 4 scene 1: sp: l 1175		,	,	,	
act 4 scene 1: sp: l 1175		,	,	,	
act 4 scene 1: sp: l 1175		,	,	,	
act 4 scene 1: sp: l 1179		,	,	,	
act 4 scene 1: sp: stage		Gives a paper to Rienzi.	Gives a paper to Rienzi.	Gives a paper to Rienzi.	
act 4 scene 1: sp: l 1181		,	,	,	
act 4 scene 1: sp: l 1182	Daemon	daemon	daemon	daemon	
act 4 scene 1: sp: l 1184		—	—		
act 4 scene 1: sp: l 1184	. He	, he	, he	, he	
act 4 scene 1: sp: l 1185		—	—	—	
act 4 scene 1: sp: stage	the				
act 4 scene 1: sp: l 1186		,	,	,	
act 4 scene 1: sp: stage		, L	, L		
act 4 scene 1: sp: l 1189		,	,	,	
act 4 scene 1: sp: l 1189	!	,—	,—	,	
act 4 scene 1: sp: l 1196		—	—		
act 4 scene 1: sp: l 1197	Aye?	Ay,	Ay,		
act 4 scene 1: sp: l 1199		were bid to enter.	were bid to enter.		
act 4 scene 1: sp: l 1200	Were bid to enter.			Were bid to enter.	
act 4 scene 1: sp: l 1202	Turbaned and robed	Turban’d and rob’d,	Turban’d and rob’d,	Turban’d and rob’d,	
act 4 scene 1: sp: l 1202	;				
act 4 scene 1: sp: l 1204		,	,	,	
act 4 scene 1: sp: l 1204	 Admit these revellers;	— Admit these revellers;	— Admit these revellers;		
act 4 scene 1: sp: l 1205				Admit these revellers—	
act 4 scene 1: sp: l 1205		.	.		
act 4 scene 1: div: stage		,	,	,	
act 4 scene 1: div: stage		from the Citizen	from the Citizen	from the Citizen	
act 4 scene 1: sp: l 1206		,	,	,	
act 4 scene 1: sp: l 1206		,	,	,	
act 4 scene 1: sp: l 1207	! Wine	—wine	—wine	—wine	
act 4 scene 1: sp: stage		To an Attendant.	To an Attendant.	To an Attendant.	
act 4 scene 1: sp: l 1208	;	!	!	!	
act 4 scene 1: sp: stage		The Attendant fills a goblet, and presents it to Rienzi.	The Attendant fills a goblet, and presents it to Rienzi.	The Attendant fills a goblet, and presents it to Rienzi.	
act 4 scene 1: sp: l 1209	:	.	.	.	
act 4 scene 1: sp: l 1210	Blest	Bless’d	Bless’d	Bless’d	
act 4 scene 1: sp: l 1211	curst	curs’d	curs’d	curs’d	
act 4 scene 1: sp: l 1213	;	,	,	,	
act 4 scene 1: sp: l 1215	.	!	!	!	
act 4 scene 1: sp: l 1217		,	,	,	
act 4 scene 1: sp: l 1219		— Colonna rises.	— Colonna rises.	Colonna rises.	
act 4 scene 1: sp: l 1219	; he	. He	. He	. He	
act 4 scene 1: sp: l 1221		—	—	—	
act 4 scene 1: sp: l 1222	. We’re	—we’re	—we’re	! We’re	
act 4 scene 1: sp: l 1223	.	!	?	!	
act 4 scene 1: sp: l 1224	prythee	pr’ythee,	pr’ythee,	pr’ythee,	
act 4 scene 1: sp: l 1224	.	!	!	!	
act 4 scene 1: sp: stage		Drinks.	Drinks.	Drinks.	
act 4 scene 1: sp: l 1227	,	;	;	,	
act 4 scene 1: sp: l 1228	;	,	,	,	
act 4 scene 1: sp: l 1228		,	,	,	
act 4 scene 1: div: stage		Rises.	Rises.	Rises.	
act 4 scene 1: sp: stage		R. C.	R. C.		
act 4 scene 1: sp: stage		, R	, R		
act 4 scene 1: sp: l 1237		—	—	—	
act 4 scene 1: sp: l 1238		"	"		
act 4 scene 1: sp: l 1238		,	,	,	
act 4 scene 1: sp: l 1239		,	,	,	
act 4 scene 1: sp: l 1239		,	,	,	
act 4 scene 1: sp: l 1242	fellow citizens	fellow-citizens	fellow-citizens	fellow-citizens	
act 4 scene 1: sp: l 1244	Tyber	Tyber	Tyber	Tiber	
act 4 scene 1: sp: l 1244		"	"		
act 4 scene 1: sp: l 1244		—	—		
act 4 scene 1: sp: l 1245		,	,	,	
act 4 scene 1: sp: l 1245	Fill	fill	fill	Fill	
act 4 scene 1: sp: l 1245		,	,	,	
act 4 scene 1: sp: l 1246		,	,	,	
act 4 scene 1: sp: l 1246		, —	, —	,	
act 4 scene 1: sp: l 1247		,	,	,	
act 4 scene 1: sp: l 1247		—	—		
act 4 scene 1: sp: l 1248	Harpy	harpy	harpy	harpy	
act 4 scene 1: sp: l 1248		—	—		
act 4 scene 1: sp: l 1249	Hell	hell	hell	hell	
act 4 scene 1: sp: l 1250		,	,	,	
act 4 scene 1: div: stage	Enter the Masquers				
act 4 scene 1: sp: l 1253		A fit tale of mirth,	A fit tale of mirth,	A fit tale of mirth,	
act 4 scene 1: sp: l 1254		To crown the goblet!	To crown the goblet!	To crown the goblet!	
act 4 scene 1: sp: stage		Enter the Masquers at different sides.	Enter the Masquers at different sides.	Enter the Masquers at different sides.	
act 4 scene 1: sp: l 1255		—	—		
act 4 scene 1: sp: l 1256		—	—		
act 4 scene 1: sp: l 1256		—	—		
act 4 scene 1: sp: l 1257		,	,	,	
act 4 scene 1: sp: l 1258	,				
act 4 scene 1: sp: l 1258		—	—		
act 4 scene 1: sp: l 1259		—	—		
act 4 scene 1: sp: l 1260	?	.	.	!	
act 4 scene 1: sp: l 1261	Aye	Ay	Ay	Ay	
act 4 scene 1: sp: stage		, &c.	, &c.	, &c.	
act 4 scene 1: sp: l 1265	;	,	,	,	
act 4 scene 1: sp: l 1265	.	!	!	!	
act 4 scene 1: sp: l 1267	;	,	,	,	
act 4 scene 1: sp: l 1267	,	—	—	,	
act 4 scene 1: sp: l 1269	her	the	the	her	
act 4 scene 1: sp: l 1271		—	—	—	
act 4 scene 1: div: stage		, R	, R		
act 4 scene 1: sp: l 1273		!	!	!	
act 4 scene 1: sp: l 1274	—aye,	—ay,	—ay,	, ay,	
act 4 scene 1: sp: l 1279		,	,	,	
act 4 scene 1: sp: stage		R.	R.		
act 4 scene 1: sp: stage		C.	C.		
act 4 scene 1: sp: l 1281		,	,	,	
act 4 scene 1: sp: l 1281		,	,	,	
act 4 scene 1: sp: l 1281	,	;	;	;	
act 4 scene 1: sp: l 1282		,	,	,	
act 4 scene 1: sp: l 1285	Heaven	heaven	heaven	heaven	
act 4 scene 1: sp: l 1286		—	—		
act 4 scene 1: sp: l 1289	;	.	.	.	
act 4 scene 1: sp: l 1290	—:	:—	:—	:—	
act 4 scene 1: sp: l 1291		,	,	,	
act 4 scene 1: sp: l 1292	Aye	Ay	Ay	Ay	
act 4 scene 1: sp: l 1292	. Well	; well	; well	; well	
act 4 scene 1: sp: l 1293	. Mark	;—mark	;—mark	. Mark	
act 4 scene 1: sp: l 1293	.	:	:	:	
act 4 scene 1: sp: l 1294	,	—	—	, —	
act 4 scene 1: sp: l 1296	.	!	!	!	
act 4 scene 1: sp: l 1297		,	,	,	
act 4 scene 1: sp: l 1298		,	,	,	
act 4 scene 1: sp: l 1299	;	—	—	,—	
act 4 scene 1: sp: l 1302		,	,	,	
act 4 scene 1: sp: l 1303	,	;—	;—	;	
act 4 scene 1: sp: l 1303	—	;	;	;	
act 4 scene 1: sp: l 1304	The	the	the	The	
act 4 scene 1: sp: l 1304	Death.	death.—	death.—	death!	
act 4 scene 1: sp: l 1305	.	!	!	!	
act 4 scene 1: sp: l 1307		—	—		
act 4 scene 1: sp: l 1307		—	—		
act 4 scene 1: sp: l 1308		My death	My death	My death	
act 4 scene 1: sp: l 1309	Were nothing; but through me the traitors struck	Were nothing; but, through me, the traitors struck	Were nothing; but, through me, the traitors struck	Were nothing; but, through me, the traitors struck	
act 4 scene 1: sp: l 1310	At peace, at liberty, at Rome, my country	At peace, at liberty, at Rome — my country,	At peace, at liberty, at Rome — my country,	At peace, at liberty, at Rome , my country,	
act 4 scene 1: sp: l 1311	Bright and regenerate, the world’s mistress once,	Bright and regenerate, the world’s mistress once,	Bright and regenerate, the world’s mistress once,	Bright and regenerate, the world’s mistress once,	
act 4 scene 1: sp: l 1312	And doomed like the old fabled bird to rise	And doomed, like the old fabled bird, to rise	And doomed, like the old fabled bird, to rise	And doomed, like the old fabled bird, to rise	
act 4 scene 1: sp: l 1313	Strong from her ashes. Did ye think the people	Strong from her ashes. Did ye think the people	Strong from her ashes. Did ye think the people	Strong from her ashes. Did ye think the people	
act 4 scene 1: sp: l 1314	Could spare their Tribune? Did ye deem them weary	Could spare their Tribune? Did ye deem them weary	Could spare their Tribune? Did ye deem them weary	Could spare their Tribune? Did ye deem them weary	
act 4 scene 1: sp: l 1315	Of equal justice and mild law and freedom	Of equal justice; and mild law; and freedom	Of equal justice; and mild law; and freedom	Of equal justice; and mild law; and freedom	
act 4 scene 1: sp: l 1316	As liberal as the air and mighty fame	As liberal as the air; and mighty fame,	As liberal as the air; and mighty fame,	As liberal as the air; and mighty fame,	
act 4 scene 1: sp: l 1317	A more resplendant sun? Sirs I am guarded	A more resplendant sun? Sirs, I am guarded	A more resplendant sun? Sirs, I am guarded	A more resplendant sun? Sirs, I am guarded	
act 4 scene 1: sp: l 1318	By the invisible shield of love which blunts	By the invisible shield of love, which blunts	By the invisible shield of love, which blunts	By the invisible shield of love, which blunts	
act 4 scene 1: sp: l 1319	The darts of treachery. I cannot die	The darts of treachery. I cannot die,	The darts of treachery. I cannot die,	The darts of treachery. I cannot die,	
act 4 scene 1: sp: l 1320	Whilst Rome commands me live. For ye foul traitors	Whilst Rome commands me, live. For ye, foul traitors,	Whilst Rome commands me, live. For ye, foul traitors,	Whilst Rome commands me, live. For ye, foul traitors,	
act 4 scene 1: sp: l 1321	I pardon ye, and I despise ye. Go!	I pardon ye, and I despise ye. — Go!	I pardon ye, and I despise ye. — Go!	I pardon ye, and I despise ye.  Go!	
act 4 scene 1: sp: l 1322	Ye are free.	Ye are free.	Ye are free.	Ye are free.	
act 4 scene 1: sp: l 1323	They who are sent, one in a thousand years,				
act 4 scene 1: sp: l 1324	To renovate old empires, and to bid				
act 4 scene 1: sp: l 1325	Cities once famous, like the fabled bird				
act 4 scene 1: sp: l 1326	Rise stronger from their ashes—they, the few				
act 4 scene 1: sp: l 1327	The chosen, the peculiar, tread in the light				
act 4 scene 1: sp: l 1328	Of their own peculiar star the glorious path				
act 4 scene 1: sp: l 1329	Of destiny. My death! Ye might as soon				
act 4 scene 1: sp: l 1330	Aim your dark bolts at that bright star; I soar				
act 4 scene 1: sp: l 1331	Too high above ye. Sirs! I cannot die				
act 4 scene 1: sp: l 1332	Whilst Fame commands me live. For ye foul traitors				
act 4 scene 1: sp: l 1333	I pardon ye and despise ye. Go!				
act 4 scene 1: sp: l 1334	Ye are free.				
act 4 scene 1: sp: stage		To Rienzi.	To Rienzi.	To Rienzi.	
act 4 scene 1: sp: l 1335		,	,	,	
act 4 scene 1: sp: l 1335		,	,	,	
act 4 scene 1: sp: l 1337	!	,	,	,	
act 4 scene 1: sp: l 1338	Chains! chains!	—Chains—Chains—	—Chains—Chains—		
act 4 scene 1: sp: l 1340		,	,	,	
act 4 scene 1: sp: l 1342		,	,	,	
act 4 scene 1: sp: l 1344	!	;	;	;	
act 4 scene 1: sp: l 1346		—	—		
act 4 scene 1: sp: l 1347		—	—	—	
act 4 scene 1: sp: l 1347		;	;	;	
act 4 scene 1: sp: l 1348	Good Estate	good estate	good estate	good estate	
act 4 scene 1: sp: l 1351		,	,	,	
act 4 scene 1: sp: l 1351		,	,	,	
act 4 scene 1: sp: l 1352	accurst	accurs’d	accurs’d	accurs’d	
act 4 scene 1: sp: l 1353	State	state	state	state	
act 4 scene 1: sp: l 1353	;	—	—	.	
act 4 scene 1: sp: l 1356	.	,—	,—		
act 4 scene 1: sp: l 1357	!	—	—	—	
act 4 scene 1: sp: l 1358	! Do	, do	, do	, do	
act 4 scene 1: sp: l 1358		,	,	,	
act 4 scene 1: sp: l 1360		,	,	,	
act 4 scene 1: sp: l 1360		,	,	,	
act 4 scene 1: sp: l 1363	freed	free’d	free’d	freed	
act 4 scene 1: sp: l 1363		—	—		
act 4 scene 1: sp: l 1363		,	,	,	
act 4 scene 1: sp: l 1364		—	—		
act 4 scene 1: sp: l 1364		,	,	,	
act 4 scene 1: sp: l 1366		,	,	,	
act 4 scene 1: div: stage		, R	, R		
act 4 scene 2: div: stage		, R	, R		
act 4 scene 2: sp: stage		C.	C.		
act 4 scene 2: sp: l 1368		—	—		
act 4 scene 2: sp: stage		R. C.	R. C.		
act 4 scene 2: sp: l 1370	.	!—	!—	!	
act 4 scene 2: sp: l 1371		,	,	,	
act 4 scene 2: sp: l 1371		,	,	,	
act 4 scene 2: sp: l 1374	vain-glory	vain glory		vain-glory vain glory	
act 4 scene 2: sp: l 1376		And we—Why are we not resolved? And be not	And we—Why are we not resolved? And be not	And we—Why are we not resolved? And be not	
act 4 scene 2: sp: l 1377		Our bold retainers waiting armed in proof,	Our bold retainers waiting armed in proof,	Our bold retainers waiting armed in proof,	
act 4 scene 2: sp: l 1378		Without the gates of Rome? — What, if to-night—	Without the gates of Rome? — What, if to-night—	Without the gates of Rome?  What, if to-night—	
act 4 scene 2: sp: l 1379	And we?				
act 4 scene 2: sp: l 1380	Why are we not resolved? And be not				
act 4 scene 2: sp: l 1381	Our bold retaineers waiting, armed in proof,				
act 4 scene 2: sp: l 1382	Without the gates of Rome? What if tonight—				
act 4 scene 2: sp: l 1383	! our	. Our	. Our	. Our	
act 4 scene 2: sp: l 1385	. Nay	; and	; and	; and	
act 4 scene 2: sp: l 1388		,	,	,	
act 4 scene 2: sp: stage		L.	L.		
act 4 scene 2: sp: l 1395		,	,	,	
act 4 scene 2: div: stage		Crosses to R.	Crosses to R.		
act 4 scene 2: sp: l 1398	Aye;	Ay,	Ay,	Ay,	
act 4 scene 2: sp: l 1399	. And	; and,	; and,	; and,	
act 4 scene 2: sp: stage		C.	C.		
act 4 scene 2: sp: l 1402		—	—		
act 4 scene 2: sp: stage		, L	, L		
act 4 scene 2: sp: l 1403	passed	pass’d	pass’d	pass’d	
act 4 scene 2: sp: l 1403		,	,	,	
act 4 scene 2: sp: l 1403	ye	thee,	thee,	thee,	
act 4 scene 2: sp: l 1407	;	,	,	,	
act 4 scene 2: sp: l 1407		,	,	,	
act 4 scene 2: sp: l 1408	milk white	milk-white	milk-white	milk-white	
act 4 scene 2: sp: l 1408	whose bright	from whose	from whose	from whose	
act 4 scene 2: sp: l 1409	Intolerable fire	Quick gleams of glittering light	Quick gleams of glittering light	Quick gleams of glittering light	
act 4 scene 2: sp: l 1410	bridle rein	bridle-rein	bridle-rein	bridle-rein	
act 4 scene 2: sp: l 1411	?	!	!	!	
act 4 scene 2: sp: l 1412	Aye;	Ay—	Ay—	Ay—	
act 4 scene 2: sp: l 1413		,	,	,	
act 4 scene 2: sp: l 1413	Barons	barons	barons	barons	
act 4 scene 2: sp: l 1415	,				
act 4 scene 2: sp: stage		L. C.	L. C.		
act 4 scene 2: sp: l 1419	Aye;	Ay,	Ay,	Ay,	
act 4 scene 2: sp: l 1424		,	,	,	
act 4 scene 2: sp: l 1427		,	,	,	
act 4 scene 2: sp: l 1430		,	,	,	
act 4 scene 2: sp: l 1432		,	,	,	
act 4 scene 2: sp: l 1433		—"	—"	—"	
act 4 scene 2: sp: l 1433	!	.”	.”	.”	
act 4 scene 2: sp: l 1434	!	,	,	,	
act 4 scene 2: sp: l 1434		,—	,—	,—	
